Area,Gu,Dong,Count,Centroid
용산구 보광동,용산구,보광동,4,POINT (127.0009161237723 37.526869755591676)
성동구 상왕십리동,성동구,상왕십리동,5,POINT (127.02479858593806 37.56843413447308)
성동구 하왕십리동,성동구,하왕십리동,41,POINT (127.02802461982883 37.56398748341943)
성동구 홍익동,성동구,홍익동,2,POINT (127.03234803683087 37.56649055656385)
성동구 도선동,성동구,도선동,0,POINT (127.0335504483038 37.563809617682715)
성동구 마장동,성동구,마장동,29,POINT (127.04074158772609 37.56736442770509)
성동구 사근동,성동구,사근동,0,POINT (127.04759994233717 37.558907373762885)
성동구 행당동,성동구,행당동,35,POINT (127.03599148385956 37.55762476147502)
성동구 응봉동,성동구,응봉동,16,POINT (127.03380261504013 37.550884804335524)
성동구 금호동1가,성동구,금호동1가,15,POINT (127.02498437729476 37.55356916809044)
성동구 금호동2가,성동구,금호동2가,6,POINT (127.0204156732562 37.553027508706144)
성동구 금호동3가,성동구,금호동3가,11,POINT (127.01956385080419 37.54989296780408)
성동구 금호동4가,성동구,금호동4가,12,POINT (127.02430389155232 37.5454650397608)
성동구 옥수동,성동구,옥수동,19,POINT (127.02056491308775 37.540856493595825)
성동구 성수동1가,성동구,성수동1가,29,POINT (127.04281913946694 37.54361012353474)
성동구 성수동2가,성동구,성수동2가,29,POINT (127.05663289382673 37.54068810080499)
성동구 송정동,성동구,송정동,22,POINT (127.06208034510566 37.553179848201104)
성동구 용답동,성동구,용답동,4,POINT (127.05635727883232 37.56146719950853)
송파구 문정동,송파구,문정동,26,POINT (127.12256340098763 37.485584668003355)
송파구 장지동,송파구,장지동,48,POINT (127.13206459669439 37.476868974072154)
송파구 방이동,송파구,방이동,15,POINT (127.12539121062795 37.5156745854168)
송파구 오금동,송파구,오금동,32,POINT (127.13401983603701 37.5040047659346)
송파구 거여동,송파구,거여동,25,POINT (127.14498576049085 37.48972629589869)
송파구 마천동,송파구,마천동,10,POINT (127.15274321686998 37.498493865240576)
강동구 명일동,강동구,명일동,34,POINT (127.15080969255463 37.549053313160336)
강동구 고덕동,강동구,고덕동,21,POINT (127.15823087302068 37.56382202555952)
강동구 상일동,강동구,상일동,22,POINT (127.1696400032672 37.5511026844147)
강동구 길동,강동구,길동,48,POINT (127.14592876491903 37.53961572373995)
강동구 둔촌동,강동구,둔촌동,28,POINT (127.14471530868553 37.52825392914534)
강동구 암사동,강동구,암사동,34,POINT (127.13106744548509 37.557805617730494)
강동구 성내동,강동구,성내동,38,POINT (127.12899169584409 37.53049340879906)
강동구 천호동,강동구,천호동,53,POINT (127.12761991870019 37.544376335547625)
강동구 강일동,강동구,강일동,12,POINT (127.17338357032193 37.56891599216978)
구로구 궁동,구로구,궁동,0,POINT (126.82852885848625 37.50043924195052)
구로구 온수동,구로구,온수동,15,POINT (126.82061783700887 37.49414393943662)
구로구 천왕동,구로구,천왕동,9,POINT (126.83981895812623 37.48083535052938)
구로구 항동,구로구,항동,29,POINT (126.82460232196053 37.48103188030278)
금천구 가산동,금천구,가산동,14,POINT (126.88377664700198 37.47668633106831)
금천구 독산동,금천구,독산동,62,POINT (126.89829393652569 37.4674737076929)
금천구 시흥동,금천구,시흥동,72,POINT (126.90928812526656 37.449526103480956)
영등포구 영등포동,영등포구,영등포동,12,POINT (126.90683322730511 37.51390836207772)
영등포구 영등포동1가,영등포구,영등포동1가,0,POINT (126.9128663913054 37.51762602114024)
영등포구 영등포동2가,영등포구,영등포동2가,0,POINT (126.91219429644468 37.5206094810292)
영등포구 영등포동3가,영등포구,영등포동3가,0,POINT (126.90789854385487 37.51826251732767)
영등포구 영등포동4가,영등포구,영등포동4가,0,POINT (126.90357738804923 37.51789030578967)
영등포구 영등포동5가,영등포구,영등포동5가,3,POINT (126.9066802635237 37.521074667363294)
영등포구 영등포동6가,영등포구,영등포동6가,0,POINT (126.90321392477564 37.52159408743511)
영등포구 영등포동7가,영등포구,영등포동7가,13,POINT (126.90711931897576 37.52429151454126)
영등포구 영등포동8가,영등포구,영등포동8가,3,POINT (126.90529403195919 37.528299571920286)
영등포구 여의도동,영등포구,여의도동,21,POINT (126.92847127337406 37.52850346576999)
영등포구 당산동1가,영등포구,당산동1가,3,POINT (126.89851242207826 37.52168417337264)
영등포구 당산동2가,영등포구,당산동2가,3,POINT (126.89370539362208 37.522483342297484)
영등포구 당산동3가,영등포구,당산동3가,6,POINT (126.89711312443032 37.52586172329822)
영등포구 당산동4가,영등포구,당산동4가,14,POINT (126.8991356364396 37.52903816609597)
영등포구 당산동5가,영등포구,당산동5가,7,POINT (126.90119971733132 37.53208681739151)
영등포구 당산동6가,영등포구,당산동6가,0,POINT (126.90288566880135 37.53465887501803)
영등포구 당산동,영등포구,당산동,5,POINT (126.9040093611838 37.53643625885756)
영등포구 도림동,영등포구,도림동,10,POINT (126.90047217572713 37.50910163524747)
영등포구 문래동1가,영등포구,문래동1가,0,POINT (126.8972056380882 37.512385662382044)
영등포구 문래동2가,영등포구,문래동2가,0,POINT (126.89311143495844 37.51279522889563)
영등포구 문래동3가,영등포구,문래동3가,5,POINT (126.89571488259952 37.51726978390922)
영등포구 문래동4가,영등포구,문래동4가,6,POINT (126.88986678023394 37.51445617704898)
영등포구 문래동5가,영등포구,문래동5가,9,POINT (126.88396364398714 37.51663586433284)
영등포구 문래동6가,영등포구,문래동6가,10,POINT (126.88468012655409 37.519891672443336)
영등포구 양평동1가,영등포구,양평동1가,6,POINT (126.88869830635532 37.523189803126385)
영등포구 양평동2가,영등포구,양평동2가,7,POINT (126.88375744896778 37.523426673365904)
영등포구 양평동3가,영등포구,양평동3가,24,POINT (126.89104747444208 37.52903571995545)
영등포구 양평동4가,영등포구,양평동4가,4,POINT (126.89615129964128 37.53631746237071)
영등포구 양평동5가,영등포구,양평동5가,10,POINT (126.89264471981518 37.53936629228843)
영등포구 양평동6가,영등포구,양평동6가,5,POINT (126.88957243693542 37.54263725407563)
영등포구 양화동,영등포구,양화동,0,POINT (126.88907549923877 37.54799824272702)
영등포구 신길동,영등포구,신길동,55,POINT (126.91361523324007 37.506061025552654)
영등포구 대림동,영등포구,대림동,32,POINT (126.90012942561792 37.49542813152043)
영등포구 양평동,영등포구,양평동,0,POINT (126.8869218979786 37.532871332575446)
동작구 노량진동,동작구,노량진동,22,POINT (126.94189570335917 37.511610835903454)
동작구 상도동,동작구,상도동,73,POINT (126.94406567685863 37.49873614450057)
동작구 상도1동,동작구,상도1동,0,POINT (126.95064185560402 37.503273364158666)
동작구 본동,동작구,본동,21,POINT (126.95365750056261 37.512448318547605)
동작구 흑석동,동작구,흑석동,25,POINT (126.96234892456347 37.505503057256895)
동작구 동작동,동작구,동작동,8,POINT (126.97387271892373 37.49921615190126)
동작구 사당동,동작구,사당동,86,POINT (126.97231475904708 37.48562385474329)
동작구 대방동,동작구,대방동,31,POINT (126.92799072632744 37.50687402276816)
동작구 신대방동,동작구,신대방동,40,POINT (126.91718690059855 37.49267544123057)
관악구 봉천동,관악구,봉천동,88,POINT (126.9534828424432 37.477970481618456)
관악구 신림동,관악구,신림동,93,POINT (126.9358083864767 37.46319851628844)
관악구 남현동,관악구,남현동,12,POINT (126.97776066375502 37.46410197201365)
서초구 방배동,서초구,방배동,57,POINT (126.99311804510779 37.479492137875056)
서초구 양재동,서초구,양재동,2,POINT (127.0374618863102 37.47198283305919)
서초구 우면동,서초구,우면동,17,POINT (127.01794417382045 37.465934073526455)
서초구 원지동,서초구,원지동,0,POINT (127.04862907095206 37.443320344758845)
서초구 잠원동,서초구,잠원동,36,POINT (127.00909335014558 37.51509975970591)
서초구 반포동,서초구,반포동,32,POINT (127.00074593870042 37.50397479185029)
서초구 서초동,서초구,서초동,114,POINT (127.0167949030054 37.48838931906311)
서초구 내곡동,서초구,내곡동,1,POINT (127.07677823087232 37.45811737814039)
서초구 염곡동,서초구,염곡동,0,POINT (127.05365127445519 37.463695184529755)
서초구 신원동,서초구,신원동,4,POINT (127.06214455632562 37.44417293683817)
강남구 역삼동,강남구,역삼동,52,POINT (127.03854877294236 37.50007809716625)
강남구 개포동,강남구,개포동,28,POINT (127.06262761083804 37.4802908207121)
강남구 청담동,강남구,청담동,17,POINT (127.05047757641726 37.52439890404111)
강남구 삼성동,강남구,삼성동,38,POINT (127.05612769906622 37.513975810351916)
강남구 대치동,강남구,대치동,42,POINT (127.06334497642115 37.49918897187847)
강남구 논현동,강남구,논현동,25,POINT (127.03171230751586 37.51367879515496)
강남구 압구정동,강남구,압구정동,10,POINT (127.02847648598231 37.53073878586763)
강남구 세곡동,강남구,세곡동,13,POINT (127.1045973579111 37.46436185538514)
강남구 자곡동,강남구,자곡동,23,POINT (127.10036931479787 37.476277033239214)
강남구 율현동,강남구,율현동,8,POINT (127.1120710267758 37.470811585528516)
강남구 일원동,강남구,일원동,22,POINT (127.0828674205991 37.488058573425036)
강남구 수서동,강남구,수서동,14,POINT (127.09671782514752 37.48587518630005)
강남구 도곡동,강남구,도곡동,50,POINT (127.04527585071824 37.48859026323518)
송파구 잠실동,송파구,잠실동,33,POINT (127.08339238464033 37.51196336188455)
송파구 신천동,송파구,신천동,21,POINT (127.09897170827446 37.52392286020141)
송파구 풍납동,송파구,풍납동,34,POINT (127.11399191324888 37.53321355197706)
송파구 송파동,송파구,송파동,25,POINT (127.11354665397765 37.505107226964924)
송파구 석촌동,송파구,석촌동,9,POINT (127.1025128061516 37.50272588324623)
송파구 삼전동,송파구,삼전동,5,POINT (127.09188833257431 37.501901675907995)
송파구 가락동,송파구,가락동,63,POINT (127.1184045680023 37.495686244495325)
